@relation categoria
@attribute texto string
@attribute class string
@data
declaran estado de excepción en maule y bíobio. 708 muertos reporte de la situación regional en el área de la salud http://bit.ly/apqora,Comunicación
uff van 708 victimas del terremoto.. y la lo peor de todo es que la cifra va en aumento,None
rt @dannyluna: rt @amigoperu76 @oliverdog llamadas de peru a chile seran gratis en movistar desde hoy 28 desde las 6pm x 3 dias,None
@biankacampbell es katiucker en el foro? yo senti q ella se encuentra bien q se comunico con una de las vondys para dejarnos tranquilas,None
@biobiobusco a mi tio en penco de sus familiares en rancagua se llama eugenio navarrete barrenechea vive a media cuadra de la comisaria,Personas
@matiasrivade los 350 de constitución!,None
rt @juanesporlapaz: @juanes unidos por chil,None
chile no estÁ preparado pa esta we,None
rt @nadaseralomismo: chicos mensaje de chilectra fue utilizar la energía en forma responsable sólo lo que necesitemo,Electricidad
rt @tvn_mauricio: rt @movistarchile hoy hasta las 23:59 las llamadas de larga distancia nacional (red fija) serán grati,None
rt @radutzan: rt @stark: #terremotochile: oficial: todos los telÉfonos pÚblicos @movistarchil,None
por fin alguien reconoce errore,None
@mflowak47 porq por encima dime un motivooo porq el iphone es mejor q el blackberryq,None
lider de 10 de julio con dieciocho esta abierto #terremotochile favor de rt,None
@tvn_monicar por favor  han hablado de muchas ciudades de concepcion pero me podrian dar informacion de lota no se ha hablado nada,None
animacion de los temblores en el mund,None
busco a luis antonio pinto alvarez y a su familia en concepcion,None
todos a conatel el jueves 4 para defender a victoria 103.9 del cierre tÉcnico,None
@javomedina no es lo q le han dicho a @darcyvergara por teléfono.,None
pareciera que ya es hora de aceptar la ayuda internacional #terremotochile,None
hospital san fernando: problemas de fisuras en tabiquerí,None
rt @carolinamillan: rt @juanpablotapia: por favor si alguien sabe de marco raineri y lorena romero en concepción que avise. (rt!),None
@carlaangola..y saqueos además..! si eso es en chile..no quiero imaginar como sería acá...,None
por favor rescaten a los leones atrapados en jaulas en iloca.,None
@tvn_mauricio se busca informacion de calos molina y maria pilar rojo de arauco llamar al 053731284 urgente,Personas
@salentoq se refiere al terremoto de haiti? puede explicar un poco mas?,None
informacion de parroquias en temuco! rt!,None
en las noticia,None
@tvn_mauricio en zapala buscan a flor laneros y luis villanueva en santiago,None
rt @netjoven: alerta de tsunami en hawaii: actores de lost evacuados   http://netjoven.pe/nsbr,None
reunan alimentos no perecible,None
yo creo q van a necesitar el 2% constitucional para reconstrui,None
zona de estado :|,None
@valecitadychile lol el vicio ante todo jajajajajaj,None
rt @pedrofuentes: info de lo que resulte al darle #unmejoruso a nuestras habilidades digitales sigan a  @digitalesxchile #terremotochile,None
@mxperez te ruego informacion de curanipe!.... hay cuerpos flotando en el mar.... tngo familia y amigos alla... porfavor manden a alguien,Comunicación
rt @aayala19: repito a todos aquellos fuera de chil,None
rt @cruzrojainforma: carabineros ha debido emplear medidas extremas de fuerza para evitar saqueos. #terremotochile por favor no se expon ...,Seguridad
lo peor de #terremotochile es la gente que aprovecha de saquea,Seguridad
rt @ivanvalenzuela: calma en la quinta región!! no hay alerta de tsunami es solo un rumor. no hay peligro!!!!,Comunicación
rt @apokalipsys: rt: @waterminder: @copano @apokalipsys tomamos contacto con la empresa aguas araucania y desmiente accion de corte. #temuco,Agua
rt @jumastorga: no hay alerta de tsunami en ninguna zona de chile. desmentido total y categÓrico de la armada y de defensa,Seguridad
terremoto en chile luces extrañas antes del terremoto haarp? http://bit.ly/9tgkjk,None
a todos los paises posible,None
@tvn_mauricio @tvn24h nueva replica del terremoto en temuco... gracias a dios fue despacio,None
@potq ya están muertos aun que sea cruel pero hay que velar por lo que sigue y la seguridad de los sobrevivientes,None
rt @parq: si hay arqs dispuestos a ayudar a gente a evaluar daños de sus casa,None
rt @a_parraguez: en pichilemu: la ciudad se encuentra sin electricidad y sin comunicacion. la conectividad vial se regularizó. se ruega  ...,Electricidad
si alguien tiene informacion de chiguayante por favor,None
hasta tenemos articulo en wikipedia http://es.wikipedia.org/wiki/terremoto_de_chile_de_2010,None
@manejara muac muy buen dí,None
"rt @gash276: asi es!  rt @leonardo_padron: ""hoy la felicidad no es que te ocurran cosas buena ",None
necesitamos saber de tome. no se a informado nada de aya por favor...  @tvn_monica,None
aun viviendo los sismo,None
rt @todounexceso: olas de 5 metros azotan talcahuano y arrastran embarcaciones y casas,Comunicación
miles de litros de vinos derramados en chile. perdidas en millones d $,None
@arambarra la destruccion es grande y por el momento ha sido dificil prestar apoyo a los mas afectados,None
pág facbookgente que busca gente en chile http://tinyurl.com/yfgzn5v otra vía + de comunicar ahora 450 personas inscritas,None
...mis pensamientos y energía hoy con toda la gente de #chile!!! muy buenos amigos se encuentran alla!!! #fuerzachile,None
me dio una alegría ver a ara en el msn e saber que ela está be,Personas
rt @nadaseralomismo: rt @vee427: @nadaseralomismo  busco a mi tio el dr. john saquicela ochoa de concepcion esposa e hijas y nieta,Personas
rt @guidoarce: @panchosagredo las llamadas de movístar desde el extranjeros también son gratis,None
rt @americaeconomia: terremoto chile: controversia entre onemi y la armada por detección de tsunami.#chile,None
@nerinarchie no te das una idea lo preocupada qe esto,None
rt @isaacbenavides: @marcoswitt oren por chile por favor...me imagino que vuestra comunidad hispana deben haber varios chilenos...bendic ...,None
@cnnchile por favor: noticias de los angeles! no hay comunicación desde el terremot,Comunicación
rt @edalgomezn  rt @jumastorga: a partir de las 5 de la tarde se efectuarán los funerales masivos de las víctimas de la región del maule,None
rt @chungunga: mas de 24 horas han pasado y aun no llega ayuda concreta a concepcion la misma alcaldesa exige mayor rapidez!!!!!santiago ...,None
@inti info sobre san clemente según radiocazuela : no hay negocios abierto,None
saqueo ....que le pasen la boleta  de lider a los milicos y al gobierno. no veo el drama,None
rt @je_nna: embajadas chilenas están recibiendo chilenos y contactan fliares directamente a sus hogares o centros de refugio #terremotochile,None
rt @tvn_mauricio: 14:30 juntos nos levantamos: programa especial de tvn para canalizar sus ofertas de ayuda. gracias a todos.,None
@victoriadanyale loser,None
así con el saqueo desde dentro en chv,None
@kvzonhall se supone q a la tarde llega.,None
@saporotti tu hermana está bien? acá todos bien. no sé nada de la dani cabello avísame cualquier cosa.,None
hola somos de iquique necesitamos saber de la ciudad de cauquenes no muestran nada en las noticias.... porfa,None
"la ""coca"" dice que el gobierno parece que tiene diagnóstico insuficiente de lo que ocurre en el sur... está indignada en cnn ",None
#terremotochile rt @gentedimare: rt @yosoyallendista presidenta: 2 millones de damnificados (via @flagrados),None
me ducho y parto a @snscafe,None
odio a la niña esa xqe esta antes que chile en tt ¬¬,None
rt @tele13online abastecimiento de gasolina estaría asegurado por 2 semanas: http://bit.ly/cngd3v #terremotochile,None
@soledadonettonecesito saber acerca de santa cruz  por que estan totalmente aislados y a mi mama ya se le acabo la bateria del celu.,Comunicación
ya estamos al air,None
favor difundir: jumbos abiertos en santiago #terremotochile http://twitpic.com/15uqcn,None
rt @oscarabp: pacifico peruano se aleja unos 100mts de su costa normal como secuela del terremoto http://tweetphoto.com/12826733,None
rt @copano: lo de chv y el supermercado es realmente impactante. pendejos robando todo menos comida. verguenza deberia darles.,Seguridad
me seguee? (@emilioeric live on http://twitcam.com/gr2o),None
@copano mas vergüenza le debiera dar a chv que esta preocupado de d&s y no de la catástrofe loco,None
@puenteportilla_ estas conectada ? es que te agregue al msn,None
ya no soporto a los argentinos parlanchines q opinan sueltos de cuerpo cosas malas d chil,None
acabo de llegar a santiago. ruta rapel melipilla del terror. la familia y los amigos todo bien hasta ahora.,Comunicación
rt @ricardomarinh: que la presidenta se saque los fantasmas y saque el ejercito a las calles. #terremotochile,Seguridad
@svbrand q bueno saber q estás bien! sabes algo del resto de la pandilla geek de chile?,Personas
este año construiremos en perú y chile : andrés arango sarmient,None
tiempo aproximado de viaje por tierra: santiago a curicó 13 horas.  puede ser aut,None
rt @carolinamillan: como hacen toque de queda en conce las personas que quedaron sin techo?// el albergues o algo asi??,Seguridad
@tamyta0803 el mio tampoco.----desde las 8 de la mñana... solo aparecen mis tuiteos,None
4 dias atras estuve n conce y 2 semans recorriendo todo el sur k atroz! ver los lugares n k estuve n l suelo viendo a las personas dstruidas,None
datos sobre el terremoto en chile. http://nyti.ms/ackfhy,None
@acordiviola que se escucha de tsunami? como esta todo contigo y tu familia ?,None
rt @elespectador: terremoto de chile deja 400 muerto,None
"astronauta toma foto de concepcion desde el espacio ""estamos rezando por ustedes"" (fuente lun.com) http://bit.ly/bm22ei ",None
@mxperez lota familia toro saez y gacitua. mama raquel y tio tani estan bien,None
@tvn_mperez  busco abuelitos: clorinda matamala y armando fuentes en cabrero. calle el sauce. están enfermos y no hemos podido comunicarnos,Personas
generemos un teleton y una sola cuenta bancaria !  la tv chilena que se un #fuerzachile,None
rt @tvstargirl: @snscafe chillán está sin comunicación me dijo una amiga que tiene familia allá y está intentando desde el terremoto,Comunicación
rt @huichalaf: confirman detención de persona que hacía llamado de tsunami en viña/valpo #terremotochile,Seguridad
quien no haya tenido perro que le ladre #nohavivido,None
repito que raro rt @perucom: registran enormes luces en el cielo durante el terremoto de 8.8 grados de magnitud (cont) http://tl.gd/ck7ln,None
@reportwiteros busco a felix jofré en curanipe.  informacion dobre los refugiados en curanipe!!!!!,Personas
@bihotita por lo que leí en el mercurio faltarán meses antes que la infra. y edificios caidos vuelvan a estar de pie en algunas partes.,None
ofrece el chaparrito calderón ayuda a chile....y a nosotros quien nos ayuda? angangue,None
rt @biobio: rt @gersonguzmand necesitamos urgente al ejército en las calles del gran concepció,Seguridad
en talcahuano la armada se encargará de custodiar las calles #terremotochile #chile,Seguridad
rt @leoprieto: foto del efecto tsunami en juan fernandez (antes y después) - http://twitpic.com/15qfpg /via @huichalaf,Comunicación
@nickjonas por que no followeas a taylor swift?,None
rt @mane_on_ice: incendio en la serena destruyen mas de 20 locales,Comunicación
@reportwiteros busco de urgencia a la familia garay rivas que se encuentra en la localidad de santa juana concepcion porfavor avisar,Personas
rt @leofreak: en cualquier pais después de un desastre salen los militares a las calle,Seguridad
la neta? tengo dos amigos chilenos y no supe nada de ellos ni nuestros amigos en común. no vayamos a freakearno,None
#fuerzachile  #terremotochile #24h #tvn_monicarme avisan de francia que se dice que se esta recojiendo el mar de nuevo,Comunicación
dra. polo y felipe viel mandando saludos desde miami en meg,None
@tvn_mauricio mauricio quisiera saber si se necesitan voluntarios para ir en ayuda a concepcion !!!,None
rt @cruzrojainforma: llamado a la población a donar sangre para abastecer la demanda de los hospitales de la red asistencial.,None
rt @carolafuentes: atenciòn: llaman de isla mocha para decir que estan todos bie,Comunicación
@lirayeen ... pero aun no se nada de talc,None
yo inconsolable estoy...me invade soledad,None
un gran abrazo a todos,None
rt @tainitoon: 110 réplicas se han sentido (vía @tvn_monicar) #terremotochile #chile,None
@vir_carou que suerteeee y que lindo irse de vacionesss! yo tambien quiero! jajaja disfruta muchooo! suerteee :),None
@ze1ntt son solo replicas...,None
si alguien puede llegar estas coordenada,None
rt @cristianarcos: se confirma totalmente que encontraron el cadaver de juan pablo mitjans. fuerza a sus amigos y familia.// que pena!!,Personas
@artemion rt @numir: por favor pilar recabal y matias alvarez recabal #pelluhue #chile #terremotochile rt porfavor!,Personas
necesito saber de luciano buchhosrt cardenas y familia de chiguayante,Personas
como roban cosas que no son de primera necesidad!! de que les sirven esas cosas si no hay luz! #chile,Seguridad
@meganoticiascl por favor digan en que condiciones quedo la comuna de hualqui-conce no han dicho nada sobre las zonas rurales o alrededores,Comunicación
@jumastorga  por favor informacion de los reos de valparaiso y del resto de chile. estan encerrados sin comunicacion y no dan informacion,Seguridad
@tele13online estudiantes usach: se convoca a reuniÓn maÑana a las 11:00 en patio de los naranjos (feusach) #terremotochile,None
rt @yoanisanchez: siento mucha pena por lo que están viviendo los chilenos en este,None
@tvn_pablo pido informacion de marcos baez vive en linares por favor,None
@romii_ro :o :) ñeee estoy aburridisima u.u y con sueño d: pero igual no puedo dormir :i,None
@dooooori que vengan a cantarla. mÍnimo :p (via @warbazul) jkajkajkajk mínimo po weón!!! yo los quiero acá ahora!,None
@marilcdychile jwhajhajha esta wnaaa xd tx familia tan tos biem cierto ? ayer la llamada se escxshaba pal copi wm ¬¬,Personas
rt @lionel_castillo: atento vandalos!!! despues del tok,Seguridad
rt @santibanez_cl: @copano viña del mar y valparaiso,None
bt @crenteri rt puedes llamar gratis de todos los teléfonos públicos @movistarchile del paí,None
@tvn_monicar gracias por todas estas horas trabajadas... gracias por mantenernos informados...,None
@copano es un poeta bielsa...,None
casi no he dormido y tengo aun un nudo en el estomag,None
#terremotochile para poder comunicarnos con constitucion porfavor dar un numero netel o llamar a  56*129*578 para contacto.,Comunicación
rt @sowhatz: escuché en la radio que carrier 188 es gratuito para llamadas nacionales. #terremotochile,None
@tvn_mauricio den noticias de coronel y de que forma ayudar en forma voluntaria necesito ubicar a mi hna maria de los angeles soza gonzalez,Personas
en nuestra casita. gracias a dios todo desordenad,None
rt @politicarock: rt @deeasherself: buscamos a renÉ maldonado diaz por favor que se comunique con sonia maldonado o joel zapata!!!! (rt  ...,Personas
tengo problemas con twitter desde la mañan,None
rt @natalia_sanchez: por favor rt esta dirección para ayudar a buscar personas en chile!!! http://www.tconnections.net/chile,None
@mckrena visita http://nadaseralomismo.com están actualizando,None
esperando noticias de coronel,Comunicación
rt @trincadoofsolar: recuerda que puedes llamar gratuitamente desde teléfonos público #movistar a cualquier parte y cel. de chile. esto hast,None
con el nervio me he comido como 10 chicles en 1 hora :z,None
ufffff  heavy el terremoto :s espero esten todos bieeen :),None
rehola!!! ya aparecieron todas las chicas verdad???????,Personas
rt @danjav32: el poblado de pelluhue en chile fué devastado por el tsunam,Comunicación
#terremotochile esto parece el fin del mundo d:,None
@tvn_monicar ¿¿¿¡llegaria el sunami a japon????,None
pelluhue cago.. estoy en shock .... no sé nada de mis primas.. no sé nada de mis familiares de cauquenes.. esto es horrible,Comunicación
@yaga_y_mackie reportandose de3 la cuata region apoyemos a el centro y sur de chile que la estan pasando mal!!,None
necesito info de nacimiento y rengo,Comunicación
#terremoto en chile. esfuerzos e iniciativas en la red para ayudar.: http://wp.me/p3kcv-h8,None
busco a camila bustos y familia en conce si alguien tiene noticias o sabe de como ta la gente a ya comunikeme,Personas
@tvn_monicar cuando tendran la nomina de los fallecidos y desaparecidos de constitución estamos en iquique muy preocupados,Comunicación
@tatistheory washiperri que bueno que estas bien! pensé que aun estabas viajando...,None
las clases en la uc comienzan el 8 de marzo,None
rt @fayerwayer: terremoto chile: mapa comercio activo en tu ciudad http://bit.ly/atblo1,None
@entel_pcs @movistarchile @clarochile liberen las llamadas hagan una ayud,None
@gabymari21 con decirte que los supermercados los abrieron pa q la gente se llevara comida  rt en #terremotochile estaan saqueando,None
movistar méxico regala todas las llamadas a #chile q sean necesarias para localizar familiares tras el sismo solo hoy domingo 28 de febrero,None
@tvn_monicar ojalÁ que no siga siendo as,None
informacion de simona liapiz en concepcion de jaime azocar de san antonio v region urgente .,None
@aliisaa si logramos comunicarnos con mi prim,None
please rt: necesito info de fam torres jerez de talcahuano direccion: almirante neff 3,Personas
informacion de lota por favor  que alguien diga como esta la ciudad y su gente #fuerzachile #terremotochile #terremotoconcepcion  #24h,None
rt @maguislp: ese de la publicidad de la iglesia   ¿donde está dios en estos momentos? #chile || #touche,None
rt @victor__moreira: @copano urgente: dicen en radio biobio que no paren por chillan a llevar gente ya q los reos q se escaparon esta bu ...,Seguridad
@adnradio google ayuda a buscar gente aqui esta el link! para que lo puedan decir en la radio http://chilepersonfinder.appspot.com/?lang=es,None
@mxperez busco noticias de abel velasquez y edelmira zapata en curanilahue,Personas
rt @csierralta: gente que viaje al sur y sea generosa de ofrecer viaj,None
@caro_chile yo creo q es mejor q esperes a q las rutas esten mejor no te arriesgues si pudes esperar mejor hacerlo cuidate mucho carito,Seguridad
rt @vico_saavedra: rt @cristhoper     telefono de algunos carabineros plan cuadrante en constitucion 79598940 79598939 y reten sta olga  ...,Comunicación
"""no puedo más mi corazó ",None
rt @stark: #terremotochile: expertos en construcción determinaron evacuación completa de edificio central park (balmaceda 215,Seguridad
@copano quedan atrás del lider de esa esquin,None
@sebahuerta porq no falta el pelota q aprvecha el panico,None
rt @helenacerqueira: el tsunami en japÃ³n fue de 90 centÃ-metros - mundo - cnnmÃ©xico.com: http://bit.ly/awiijh via @addthis #terremotochile,None
una redbull porfavor (a),None
"""no hagas reír hasta el punto de dar motivo a la riza ",None
pff una rama de la armada se equivoco y no decreto el tsunami #fail http://bit.ly/d40izm,None
rt @_gyermo: imágenes aéreas de la devastación en chile http://is.gd/9ogqn,None
@onetickettoride  lo tendre en cunta para cuando vaya a italia (?,None
rt @jose_cl: se indica que alarma de tsunami en viña es falsa... #chile,Comunicación
@blas_duarte creo que todas esas casas estan bie,None
sentimientos encontrados: pena y angustia por la gente que lo perdio todo y rabia y verguenza por los saqueos. vamos chile!,None
10 mil efectivos de las ff.aa. hacia el su,None
rt @daniloich: @copano estoy buacando a ruth montecinos muño,None
rt @marialicia25: cuerpo encontrado en llo lleo no corresponde a hijo de  edo mitjans favor retuitea esta info,Personas
rt @carlos_baute: xfavor alguien d chile q pueda llamar a estos nrs y avisar x aquí como estan: 98708665 alfred,Personas
comerciantes en concepción se defienden con escopetas.,Seguridad
@celestejaviera si.. solo se que se puede llegar a stgo en avio,None
dormi no sabado as 14 hr,None
@sebita por mi casa no ladro ni un solo perr,None
rt @grmadryn rt @paniko: mapa colaborativo con todo el comercio abierto en ciudades chilenas. rt porfa http://tinyurl.com/yfplktu,None
sin noticias de mis amigos chilenos en santiago y concepción... por favor envien noticias... abrzs,None
rt @mppmolina: rt @carolina_chile estaria horas agradenciendo a cada uno por todas las fuerzas que nos mandan a chil,None
que se sabe de los vuelos nacionales...como se hará para solicitar devoluciones de dinero...??,None
rt @baco1957: bueh. mi hijo sigue varado en buenos aires. informan q ejercito monta carpas en aeropuerto de santiago para habilitar inmi ...,Seguridad
recien puedo entra,None
rt @oscardleon: dios de fortaleza a todo aquel que ha perdido un familiar en chile.,None
@tvn_mauricio me gustaría qe dieran informacion de la provincia de colchagu,Comunicación
puq: viento provoca rebrote de incendio en loteo varillas. al parecer es más complejo de lo que fue hace algunos días,Comunicación
@tvn_monicar busco a familia torres escares y familia bustos torres en talcahuano. gracias,Personas
ahora si a pedalear 20 km hasta punta lara ida y vuelta.,None
al menos sé que @lalastar_jonas esta bien xd pero de la dani auun ni piistas =/ tampocoo de @makiitta_ =s y ella es de chillán wm! =s,Personas
@cotilackington no te mori cn la trini tabamos bkn en el terremotooo jajaj yo pense q era de esos tipicos temblores q ay en la noche jajaja,None
rt @unonoticias: sismo sacude norte de pakistán y afganistán http://bit.ly/akstlh,None
@sarath204 dudo que lo puedas hace,None
http://g1.globo.com/noticias/ciencia/,None
rt @nadaseralomismo: santa isabel portugal abastecido!!!!,None
rt @abgl_84: @ayudachile venezolanos que necesiten contactar con familiares en santiago y que tengan un numero de tlf local comunicarse  ...,None
alguien tiene información de la ciudad de cauquenes??????,Comunicación
#terremotochile #sebusca yolanda mñoz paredes de puren @ywollermann,None
rt @kekportillo: le doy gracias a dios x ke estoy bien y rezo x chile.. iclaro que si... rezamos por chile! un bes,None
rt @ayudachile: haz rt de la lista de desaparecidos en: http://www.tconnections.net/chile/ #terremotochile,None
@tvn24hfavor informacion sobre penco esta en bahia y no hay informacion,None
rt @juanda83: necesitamos información de gerardo antonio jara ferrada y familia de talcahuano despues de #terremotochil,Personas
la ocasion ahace al saqueador....que salgan las ffaa a cuidar y proteger las cosas de la gente!!!!!,Seguridad
gente estupida que prefiere sacar electrodomesticos antes de comida pff,Seguridad
donde estan recibiendo ayuda de alimentos y ropa acá en santiago (#moteconhuesillo live at http://ustre.am/cug7),None
preocupada por chil,None
en las noticias hablan de todos los lugares menos de parra,Comunicación
rt @unavezalasemana: durante de la tarde-noche el municipio de concepción hará distribución de alimentos de primera necesidad #terremoto ...,None
menos mal que carmen fernández les paró los carros a los periodista,None
porque no han intervenido en los saqueos? y la presidenta no se pronunciara?,Seguridad
planeando super mega actividad de anime en cartag,None
rt @elisimone: en @ayudachile listado de tuiteros voluntarios para contactar familiares en distintos países #sebusca #terremotochile,None
@biobio  fuerza !! espero que estén todos bien !,None
#ayudafuerzarmadachile @cnnchile que esperan las autoridades para enviar ayuda a traves de militares?,Seguridad
alcaldesa (de conce) cómo va a haber toma miliar?? en vez de preocuparse que le roben a los ibáñez preocúpese de canalizar la ayuda.,Seguridad
alguien sabe que pasa con chenquenco. hay familiares en esa zona y la imformacion es nula,Comunicación
@betogaspe porfa beto rt acuérdate que en el twitter http://www.twitter.com/ayudachile hay millones de personas que envían información...,None
se están dando una bomba. con su unidadl sino involucran a la sociedad o mejor dicho sino se involucra la sociedad.habrán ideas en contra,None
@claudialuac mañana 11.30am donantes se juntarán en el frontis de la puc alameda para ir a posta central.,None
fuerza patria querida!!!...y solidaridad! #terremotochile #chile,None
rt @tvn_mauricio: en vivo: ministro de defensa en los estudios de tvn #terremotochile,None
#unfollow a @ifelipets por comentarios comunistas aweonaos. (via @cloudani)// entendiste todo lo contrario de lo que dij,None
@rominalms_ no pude romi pero mañana estoy,None
porcadinha perdendo haha,None
#quieroquedycdiganlaverdadantesdel2012 #quieroquedycdiganlaverdadantesdel2012 las vondys nunca dejaremos de ser ilusas ajajajaajaja,None
:/ siento verguenza de los saqueos que se han hecho en concepcion que gente mas sin verguenza los que sacan los electro domesticos.,Seguridad
rt @bionet_x86: iquique ayuda a constitución! (así fue determinado por el nivel central). mañana a partir de las 10 horas en el ex estad ...,None
mandemos bendiciones a los hermanos de chil,None
puerto monttinos! mañana organizar ayuda en http://www.elrepuertero.cl/admin/render/noticia/21209,None
@nightwishchile buscamos información de adolfo fuentealba detzel (lobo_noble en el foro) de concepción cualquier noticia por favor avisar!.,Personas
rt @biobio: ahora en lota: individuos incendian cope,Seguridad
todo méxico con banderas solidarias con chile en su avatar. @tainitoon #carlosmontemayor #terremotochile #nohavivido,None
ayyyy 2010 !! dos meses y puras tragedias,None
@bncplax hola ivan espero que estes super bien junto a tu familia.  cuidate,None
estan saqueando el lider express de manuel montt con 11 de septiembre d:,Seguridad
daños por sismo podrían alcanzar los 30 mil millones de dólares,None
@inti hola inti feliz domingo! bravo por tu seguimiento a chile!,None
@reportwiteros quiero saber sobre rosa arias gajardo y familia vasquez arias de coronel,Personas
@reportwiteros alguna informacion de lucio toledo o valeria cid en concepcion ariel.toledo.o@gmail.com,Personas
retwitteen esto por favor: cruz roja llama a la población a donar sangre en hospitales públicos #terremotochile,None
en antena,None
sino es el temblo,None
@jimeewpanicmars no tan bien no se de mi amiga de chile y tu?,None
@tvn_pablo busca a iris sierra y rene ormeÑo en san pedro de la paz.,None
me da escalofríos oír las grabaciones del #terremotochile,None
por que no infoman sobre curanilahue,Comunicación
rt @tranzasmusic: haremos promociones tambien por www.myspace.com/tranzasmusic para que nos agreguen !! by tranzas.,None
@novatillasku sí... una verdadera lástima lo que ha sucedido. este suceso ha mostrado lo peor de nuestro país.,None
@dennise_  que sector?... en el plan tengo agua....,None
rt @tvn24h: toque de queda: sÓlo concepciÓn confirma medida para esta noche #terremotochile #24h,None
desde el norte reciban nuestro apoyo,None
rt @noticiasvenezue: #freemediave nuestro blog anunció terremoto de chile (y haití): en noviembre de 2009 (cont) http://tl.gd/ckd25,None
gracias a todos los que me hicisteis rt ayer sobre el #terremotochile,None
en waiter y despues para taguey judeeeee,None
@jehvitachi dormir? hahaha por 40 minutos? hahaha,None
semaforos malos en tobalaba con dr. genaro benavides y en tobalaba con s. bolivar #chile,Comunicación
rt @cruzrojainforma: bachelet: cifró en 708 los muertos confirmado,None
"@kathii_cs_jb oye encontre un log de mcfly que escriben una historia y la ""protagonista"" de la la historia se llama connie y ama a douigie ",None
el terremoto dejo la embarrada kiero saber como estan las cosas en osorno ojala alguien pueda darme datos,None
@koke_richter que bueno yo tengo en rancagua y graneros de los de santiago no se nada,Comunicación
muy cierto menos mal vendimos los supermercados...la cago la gente desesperada roba lo que no necesit,Seguridad
que la fuerza para chile venga de de nuestros compatriotas chilenos  solo esperar que dios tenga la misericordia de nuestro pais .. adios xd,None
#terremotochile @reportwiteros @tvn24h como es la situacion en tirua ??? porfavor !! * #terremotochile @reportwiteros @tvn24h,None
por que chile somo unidos  http://bit.ly/cm6iw6,None
rt @_jolyy_: y el msn me aburre es como qe u.u siempre son los mismos conectados,None
@juanur0 como a todos? nosotros no simn poder contactar a los expertos :s las lines colapsadas u2639 http://myloc.me/4inmg,None
rt @marcialrivero urgente! 2 vzlanos necesitan ayuda! estn refugiados casa #203b en concepcion. alex navarro y maria liberto! avisen x aqui,None
necesito tener noticias sobre antonio gonzalez (toño,Personas
@cooperativa @tele13online y que pasa con caÑete????,Comunicación
quién sabe algo de que van a declarar feriado ???? (#moteconhuesillo live at http://ustre.am/cug7),None
@carito861 la carola habló ayer con la narry y me habia dicho q estaban bien... paso algo???,None
rt @snscafe: rt @julian_plenti: @snscafe en esta web sale los comercios abiertos en todo el pais http://nadaseralomismo.com/ rt please,None
rt @rafaeldonoso: tengo 4000 lt diarios de leche en l. angeles para regalar. solo necesito camión apto pa transportarla. #terremotochile,None
#terremotoenchile edificios de bilbao con amapolas con serios daño,None
alguien sabe cajeros automaticos en conchali??,Comunicación
como amo los paises amigo,None
@missclaudial hace un rato se corto el agua. familia bie,None
rt @cruzrojainforma: aclaramos: cruz roja no esta solicitando voluntarios para trabajar en esta emergencia.,None
rt @korzot: rt @tele13online: la imagen del momento http://twitpic.com/15x12y esta foto puede levantar al país (via @panchordenes),None
rt @zetadice: rt @linkjrc13: página con datos y búsqueda de personas en viña #terremotochile #viñadelmar http://bit.ly/9rywdm,None
rt @joebonilla : @rauldemolina anahi quedo muy impactada con la experiencia y aun no se recuper,None
rt @yurynsky: telefonos de emergencia en chile se piden que se retwiteen 568 1290/ 568 1295 #terremoto #terremotoenchile #chile,None
con un gran abrazo y un beso todo terremoto pasa tranquil,None
@tvn24h favor los periodistas que se encuentran en concepcion intenten sobrevolar el golfo de arauc,Comunicación
¿habrán cortes de agua en santiago durante la semana?,Agua
@tvn_monicar monica no sabes de como esta la cuidad de lontuÉ curico no sabemos nada de nuestras familias!,Comunicación
mi primo dio señales de humo .. esta durmiendo en un cerro en curanipe para que no llegue un tsunami ..por dios que tranquilidad !!,Personas
me logre comunicar con todos,None
que alguien con fuente fidedigna confirme que mañana no habrá agua en viña y valpo. fuente de diario vmasv es del año 2008!!! @tele13online,Agua
@australtemuco muchas gracias por esa informació,None
es bueno saber que las amistades de chile se encuentren bie,None
@eduardoe gracias..,None
rt @tvn24h: vivo maipÚ: municipalidad busca a empresa contructora responsable del colapso de edificio don tristán #terremotochile #24h,None
fuerza y unidad chile.,None
@vhquezada tiene noticias de la familia segura en la villa pinare,None
@fran_veloso_v si logro comunicarme con alguien de curanipe le dejaré encargado a carlos veloso inostroza /via @fvelosoc muchas gracias!!,Personas
@sebastianpinera pida a la cooperacion internacional (ue y usa) imágenes radar de sus satélites para detectar cambios en el terreno.,None
cerrando el dí,None
escuché esa nota de voz dos veces o.o #cdlr los zapatos?? xd loool,None
rt @pattymanterola: rt @ramonesadal: @eazcarraga teletón pro afectados de méxic,None
vamos chile saldremos adelante de esta catastrofe,None
@jfuenzalidal ¿esta funcionndo metrotren santiago rancagai?,None
rt @ramonesadal: dividamos esfuerzo,None
buen diaaaaaaaaa :b arre que son las 6.20 :| pero ayer sali y bue . una garcha la fiesta u.u,None
@arturogonzalezj estoy en camino. en desvío en villalegr,None
me voy a la federación de mi,None
rt @carolafuentes: r. ortega cdte en jefe de la fach dice q estaban listos para distribuir lo necesario desde las 5 am del sabad,None
rt @fernandopaulsen: ¿no podrían desviar vuelos a antofagast,None
